"Loc_code","Name","Province","Latitude","Longitude","counts","FirstCount","LatestCount","boundary_polygon"
"33561832","Athlone WWTW - Black River","Western Cape","-33.950954","18.515193","20","2013-07-23","2016-06-21",NA
"33571832","Athlone WWTW - Central","Western Cape","-33.95378","18.515091","31","2013-07-23","2016-09-15",NA
"33571831","Athlone WWTW - Combined","Western Cape","-33.95285","18.51043","22","2003-07-25","2019-10-17",NA
"33561831","Athlone WWTW - North Ponds","Western Cape","-33.951985","18.510958","29","2013-07-23","2016-09-20",NA
"33581831","Athlone WWTW - South Ponds","Western Cape","-33.954166","18.510369","31","2013-07-23","2016-10-20",NA
"33371826","Atlantis Dunes: Pond 7","Western Cape","-33.62865","18.44698","8","2007-10-31","2011-06-17",NA
"32222237","Beaufort West Bird Sanctuary","Western Cape","-32.38134","22.58493","36","1993-01-23","2011-07-03",NA
"33422035","Bellair Dam","Western Cape","-33.71584","20.59108","2","2000-02-16","2001-01-16",NA
"32531819","Berg River 10: Kersefontein Floodplain","Western Cape","-32.89732","18.32285","29","1994-01-16","2015-07-12"," 18.329378087950772,-32.90329102613224,0 18.329975499336342,-32.90151249489702,0 18.328769215558737,-32.89779286153691,0 18.32747681197202,-32.89535743876755,0 18.326253841890775,-32.89368136917851,0 18.324621954878694,-32.89281050885096,0 18.322707121905523,-32.89200694301344,0 18.321314036651188,-32.89142247489502,0 18.319400201381086,-32.8908382780382,0 18.317748612773812,-32.8903273098815,0 18.316183896200982,-32.8897432253501,0 18.31150411054341,-32.883753578385175,0 18.30675619529211,-32.88363428261488,0 18.304667326590447,-32.88391949611045,0 18.302499538495795,-32.88329432464165,0 18.299909258609205,-32.8822709554164,0 18.298305655110084,-32.88201011261161,0 18.297177736491108,-32.88196033677583,0 18.296254288207706,-32.88233482981657,0 18.295543668884875,-32.8833104584737,0 18.2947790382691,-32.88463965072971,0 18.294287587043527,-32.88587727766912,0 18.29510555017282,-32.88688579015511,0 18.29581591715464,-32.88752779310134,0 18.296686646029457,-32.88876544017153,0 18.297993283075357,-32.88968254353276,0 18.298815728481713,-32.88986604379367,0 18.299908783793512,-32.88968280604996,0 18.301491150117954,-32.88862854035124,0 18.303022540367238,-32.88766647883248,0 18.304332435287506,-32.88775826084503,0 18.305914691929956,-32.88817077383214,0 18.30809868010374,-32.88867526982001,0 18.31022682394223,-32.88899608284903,0 18.31208273951586,-32.8896837429897,0 18.314157339168332,-32.89046313284105,0 18.316449496697942,-32.89124213591598,0 18.317759487755552,-32.89261710561245,0 18.318415042278616,-32.89376329756671,0 18.318252134771342,-32.8955976650366,0 18.317160359136437,-32.89692744265902,0 18.31503051778111,-32.89811800693909,0 18.31235046916231,-32.89857721492694,0 18.31065657981651,-32.89913591558299,0 18.30874264658894,-32.89981397559038,0 18.306754081634494,-32.90074210881073,0 18.30550210751892,-32.90185494750178,0 18.30505995572082,-32.90327717775536,0 18.30587011792852,-32.9042041503358,0 18.307344353755298,-32.90494177793654,0 18.309478307576,-32.90494618684756,0 18.311613895506525,-32.90488317900462,0 18.31330741606905,-32.90451208614332,0 18.3149251660584,-32.90425044970291,0 18.31588372028864,-32.90358153257721,0 18.31978296194461,-32.902403364658,0 18.32073860475566,-32.90252526751239,0 18.32199321816165,-32.90314842089651,0 18.323462495880904,-32.90357712028978,0 18.324712099928433,-32.90369893060153,0 18.326201268360023,-32.90353160334291,0 18.327532831057624,-32.9031652878782,0 18.329378087950772,-32.90329102613224,0"
"32521819","Berg River 11: Doornfontein Floodplain","Western Cape","-32.86573","18.29193","49","1994-01-16","2021-02-07",NA
"32511814","Berg River 12: Melkplaas Floodplain","Western Cape","-32.83977","18.22217","43","1998-07-26","2021-02-07",NA
"32481813","Berg River 13: Springersbaai Floodplain","Western Cape","-32.8128","18.20683","40","2000-07-16","2021-02-07",NA
"32541817","Berg River 14: Kotze Pans","Western Cape","-32.8974","18.2933","10","2007-07-29","2015-07-12","18.27902636495733,-32.89427897363205,0 18.28120226074596,-32.89454053505175,0 18.28347940742141,-32.8948890990162,0 18.28534434702615,-32.89575942620455,0 18.28689825838272,-32.89680357921298,0 18.28855566706572,-32.89802164236413,0 18.28990204006617,-32.8996745088318,0 18.29041949056078,-32.90141426439877,0 18.29249116295559,-32.90245845131528,0 18.29487346556557,-32.90454639704004,0 18.29673808595166,-32.90550334985836,0 18.29849939440055,-32.90532998295051,0 18.29912136090083,-32.9041998047043,0 18.29901834790982,-32.90246096330637,0 18.29922571462896,-32.90115572228397,0 18.30036469048135,-32.89984952855653,0 18.30160780066179,-32.89897995327221,0 18.3023915946891,-32.89796668492581,0 18.30343546466565,-32.89698650362183,0 18.30478799383681,-32.89621317852937,0 18.3061408093802,-32.89585236517188,0 18.30798606049963,-32.89590431494375,0 18.31025882311728,-32.89595593190326,0 18.31278067555608,-32.8952291025517,0 18.31347203639099,-32.89407223032285,0 18.31243788224786,-32.8923781724309,0 18.31090852516917,-32.89134607298235,0 18.30854607356537,-32.89060286614834,0 18.30559460058672,-32.88998330684976,0 18.30436530496766,-32.89080901268988,0 18.30308571003458,-32.89180041877371,0 18.30195497665787,-32.89262605372655,0 18.29959408171399,-32.89332779359593,0 18.29742950018741,-32.89283189170901,0 18.29615061228424,-32.89221209220032,0 18.29398658677907,-32.89159246852772,0 18.29192166276552,-32.89068400179907,0 18.29103581180583,-32.88965063555575,0 18.2901005375635,-32.88828638431639,0 18.2901009851369,-32.88655130371424,0 18.29015061067619,-32.88506414426883,0 18.29051381853228,-32.88409274314787,0 18.29089399365826,-32.88217875618771,0 18.28496271363558,-32.88823545937053,0 18.27902636495733,-32.89427897363205,0"
"32471808","Berg River 15: Vlaminkvlei Night Roost","Western Cape","-32.7896","18.1398","7","2008-01-18","2015-07-12",NA
"32461808","Berg River 16: Lower Berg River Night Roost","Western Cape","-32.7832","18.1399","40","2004-08-20","2009-01-28",NA
"32461809","Berg River 17: Berg River Mouth Tern Roost","Western Cape","-32.7707","18.1437","1","2009-01-12","2009-01-12"," 18.132327433776823,-32.77560743677905,0 18.132801195678667,-32.77629301302077,0 18.133080145416216,-32.77624942096033,0 18.133530756530718,-32.776350160187256,0 18.133584400711015,-32.77663506750263,0 18.133294722137407,-32.777028221540554,0 18.13349857002254,-32.77733116788686,0 18.133898219165758,-32.77723551289245,0 18.134276410636858,-32.77703161029625,0 18.134312955734686,-32.77661372403886,0 18.134564077553705,-32.77630408433471,0 18.134722998437837,-32.77600954871096,0 18.134955009517626,-32.775745222520314,0 18.136152615842775,-32.774885521571385,0 18.137438064513162,-32.77470825258669,0 18.13872451901193,-32.77407836382168,0 18.139367746261314,-32.773366494567604,0 18.140290174705342,-32.77272188412081,0 18.141121596635685,-32.772578772944996,0 18.142982986827747,-32.77178614023682,0 18.143227036415965,-32.77137177882917,0 18.143857324102328,-32.770921330500656,0 18.144551984805048,-32.770849773493886,0 18.144277042664953,-32.77056139931229,0 18.14421667724605,-32.77027302419639,0 18.143936034393278,-32.76973174362173,0 18.14314210052487,-32.770235427347686,0 18.142519828033414,-32.77084736337641,0 18.141328927230802,-32.77142321040965,0 18.140239950370756,-32.772017851771025,0 18.139577444744077,-32.772396360901276,0 18.13844152922627,-32.77342457144889,0 18.136392992091146,-32.7742273420056,0 18.13497175658938,-32.774484390467684,0 18.134121663969722,-32.774676060526964,0"
