"","269","67","212","48","50","47","203","267","52","95","101","10015","91","103","1016","10014","104","100","96","61","58","59","60","149","86","87","266","265","89","88","360","5","4","6","263","933","288","72","170","64","55","56","63","54","57","62","81","83","84","228","397","394","245","167","210","211","69","70","172","361","42","41","240","236","233","239","241","237","238","235","102","282","197","256","255","926","258","251","259","262","257","264","90","94","250","85","270","253","80","76","208","98","99","97","290","10009","305","304","274","232","10008","685","686","690","689","268","startDate","season"
"1",NA,NA,6996,NA,6,292,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,163,9,11,24,NA,NA,23,6,NA,NA,325,26,1,NA,101,2,NA,NA,37,NA,NA,NA,17,5,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,118,NA,NA,NA,NA,NA,NA,1,1,38,1,NA,4,NA,NA,112,11,5,23,NA,NA,55,129,NA,5,NA,NA,2,NA,7,113,27,NA,41,NA,2,NA,1,NA,NA,2,5,2,2862,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,1993-01-23,"S"
"2",NA,NA,1451,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,249,132,NA,NA,NA,NA,111,95,NA,NA,1262,90,NA,3,115,121,NA,NA,30,NA,NA,NA,11,12,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,138,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,11,4,NA,NA,142,46,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,15,1,15,NA,NA,NA,NA,1,14,NA,11,NA,NA,NA,NA,NA,NA,10,NA,7,NA,NA,NA,1993-07-10,"W"
"3",NA,NA,536,NA,24,331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,22,2,NA,NA,12,NA,NA,NA,282,6,NA,NA,13,NA,NA,NA,22,NA,NA,NA,64,5,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,3,NA,NA,329,NA,NA,2,NA,NA,3,NA,NA,13,NA,NA,NA,NA,NA,148,40,NA,87,NA,99,1,13,NA,3,NA,3,26,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1994-01-15,"S"
"4",1,NA,2883,NA,38,179,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,726,2,NA,NA,NA,3,118,NA,NA,NA,2117,177,NA,15,8,172,2,NA,66,NA,NA,NA,20,5,NA,5,NA,NA,1,NA,8,NA,NA,NA,130,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,224,11,NA,14,NA,NA,NA,NA,NA,29,NA,NA,NA,NA,NA,36,18,NA,NA,31,NA,NA,NA,NA,19,4,70,NA,NA,NA,NA,NA,NA,1,NA,50,NA,NA,NA,1994-07-16,"W"
"5",NA,NA,14826,NA,34,457,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,7,145,NA,32,1,2,NA,180,267,NA,1,NA,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,25,6,NA,14,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,122,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,213,64,NA,32,NA,NA,NA,24,NA,20,6,7,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1995-01-28,"S"
"6",NA,NA,559,NA,121,260,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,1,1,NA,NA,111,166,NA,NA,168,NA,NA,NA,NA,2,NA,NA,140,NA,NA,NA,NA,9,NA,1,NA,NA,NA,NA,1,NA,NA,NA,122,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,18,NA,NA,102,NA,NA,NA,NA,NA,NA,NA,NA,1,18,NA,NA,NA,NA,18,NA,NA,78,2,480,NA,3,NA,NA,NA,9,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1996-01-01,"S"
"7",11,1,8981,NA,340,520,NA,NA,28,NA,13,NA,NA,7,NA,NA,NA,29,159,175,11,2,NA,NA,92,NA,NA,NA,299,16,NA,NA,48,11,1,NA,66,NA,NA,9,17,4,NA,17,1,14,NA,NA,41,NA,NA,2,255,NA,NA,NA,NA,NA,NA,1,NA,14,NA,NA,17,NA,NA,60,6,NA,98,NA,NA,2,NA,NA,7,2,NA,9,NA,11,26,4,NA,10,7,349,NA,6,1,NA,NA,5,40,NA,NA,86,NA,NA,NA,NA,1,NA,NA,NA,1999-01-16,"S"
"8",NA,NA,15628,NA,146,765,NA,NA,49,NA,NA,NA,NA,4,NA,NA,NA,6,640,3,17,17,NA,NA,471,131,NA,NA,2431,160,3,NA,260,481,NA,NA,57,1,NA,NA,6,4,NA,22,5,32,35,NA,NA,NA,NA,5,81,NA,32,NA,NA,NA,NA,2,NA,NA,NA,3,NA,NA,NA,109,23,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,15,69,2,87,71,1,NA,5,3,5,NA,135,NA,NA,NA,NA,NA,NA,NA,NA,87,NA,NA,NA,1999-09-12,"W"
"9",NA,1,462,NA,193,104,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,56,31,NA,1,NA,NA,NA,NA,17,1,NA,NA,5,2,NA,20,32,1,NA,1,8,2,NA,32,6,12,37,28,2,2,NA,NA,42,NA,1,NA,100,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7,NA,1,NA,NA,NA,2,NA,NA,NA,7,NA,NA,NA,369,NA,NA,9,NA,33,NA,NA,NA,2000-01-29,"S"
